Gene,bind_logFC,expr_fong,adjP_fong,expr_map2,adjP_map2,sign_concordant,delta_abs_expr
CENPH,3.109420815530984,1.555864597408734,0.0416273005497133,1.967528651111112,0.3032261485944124,True,0.41166405370237813
CENPI,1.800604635862505,1.682974598131757,0.015010717275339,1.409175758888889,0.2149019339907676,True,0.2737988392428681
CENPK,2.733028481102689,1.592766351999803,0.0966859786733246,1.09581036,0.3170556315570569,True,0.496955991999803
CENPM,2.141766496260138,1.925867672681502,0.0208314680055539,0.8938766088888886,0.4571883895995602,True,1.0319910637926135
CEP152,2.88329178368001,1.341684921228406,0.0395070420183828,1.43489325,0.2531414624242242,True,0.0932083287715939
CEP72,2.696823465616321,1.124411287982827,0.0688324899318754,1.616842100000001,0.2074647396178739,True,0.4924308120171741
CIT,2.690291894698556,1.812250070280402,0.0249136553190315,1.718534735555556,0.2878007769749082,True,0.09371533472484606
CKS2,2.146418881109642,1.543208628336995,0.1005487470597486,0.8726394000000003,0.4468715261715674,True,0.6705692283369947
CLSPN,1.505048019189068,1.782132568426396,0.0439142651453121,1.30032318888889,0.4827425836701006,True,0.481809379537506
DDX11,3.402816444276547,0.9701917128568168,0.1909158768769445,1.052302836666667,0.2149019339907676,True,0.08211112380985008
DSN1,2.543875838297128,1.143933270689626,0.0203576261499154,1.275746446666667,0.3466418968399138,True,0.13181317597704112
E2F7,1.846469735564592,1.993237146787434,0.0253799328031373,1.305526842222222,0.4485213459445696,True,0.687710304565212
ECT2,3.624969164220547,1.627678488312835,0.0366533006166279,1.929853092222222,0.2116043124877084,True,0.3021746039093869
ESPL1,2.979640224983259,1.411734608422281,0.0503323067143546,1.455087857777777,0.2536241803817188,True,0.043353249355496004
EXO1,1.287624122616179,1.708862794127542,0.0145004434739725,1.351839164444445,0.3604883953556918,True,0.3570236296830971
FANCA,1.923368554215099,1.36284859369332,0.0506070625989558,1.884822753333333,0.2149019339907676,True,0.5219741596400131
FBXO5,1.911845446413261,1.290053197136606,0.0372319235061292,1.741735333333333,0.2116043124877084,True,0.4516821361967269
GMNN,1.551267737785834,2.08784732217444,0.0322455894918612,1.463133003333333,0.306295532940792,True,0.6247143188411071
GPSM2,1.875750777685036,0.8361615114855656,0.073659501932471,0.9072216744444443,0.2610624618991867,True,0.07106016295887874
HMGB1,2.2894778964786,0.7034966865423886,0.0789990982658864,0.8996096530555555,0.397209443713584,True,0.1961129665131669
INCENP,2.705781951400042,1.295854665262565,0.0229438168891258,1.312339683888889,0.2116043124877084,True,0.0164850186263239
KIF11,2.199726128896946,1.364313678302267,0.0265859556982859,1.551428192222223,0.2503250160740336,True,0.18711451391995615
KIF14,3.001738255299844,2.128421461063765,0.0090470997504832,1.344396075,0.2116043124877084,True,0.7840253860637649
KIF20B,2.504187771534266,1.88155841230822,0.0348132792482499,1.598579068888889,0.2536241803817188,True,0.28297934341933106
KIF22,3.362735964963528,1.351668092348572,0.0298398503177039,1.290346994444445,0.2185387662075358,True,0.06132109790412699
KIF23,-2.06887235538868,1.470882971676842,0.0095560061778607,1.311825665555556,0.2410013923269574,True,0.15905730612128588
KIF2C,2.744893433319016,1.190040190070246,0.0435909693501134,1.595018897222222,0.2300469926965806,True,0.4049787071519759
KIFC1,1.464921270461628,2.066309832505993,0.0615171477322433,1.36785586,0.4709064104649613,True,0.6984539725059931
LIF,-1.251956198359411,2.994639098743819,0.0142567694208895,1.838956331111112,0.5636280253696999,True,1.1556827676327073
LIG1,1.560572527688878,1.122789441725574,0.0513084197948102,1.375836168888889,0.3684437154704058,True,0.253046727163315
MAD2L1,2.165750314944522,1.615774305713854,0.0427739977577085,1.215930838518519,0.259267897822961,True,0.39984346719533503
MAPRE2,-0.1140615988950898,-0.5417550829413695,0.1993821172501934,-0.9332039988888892,0.3550504008192818,True,0.3914489159475196
MBD4,-1.630896546922965,0.6525667368896535,0.0745870808618195,1.140996456666667,0.3733760689156093,True,0.48842971977701355
MCM3,1.914243872947878,1.247807928166628,0.0314424068223466,1.061387755555556,0.4571883895995602,True,0.18642017261107213
MCM5,-1.435963453960028,1.313974609119931,0.0563753658672887,1.305273161111111,0.5358963992224616,True,0.00870144800881989
MDM1,2.159040988305603,0.9704176500004048,0.0858375920787665,1.369998968333333,0.2735580947616394,True,0.3995813183329281
MKI67,1.532678767463946,1.770772829298446,0.0184547902943026,1.532774451666667,0.2149019339907676,True,0.2379983776317789
MNS1,3.07651592490675,1.127893615878772,0.1607346773774005,0.6364702598888888,0.514309459528947,True,0.4914233559898832
MYBL2,1.972979433048424,1.546004594967348,0.0502467198410137,1.302147323333334,0.4017278683188246,True,0.24385727163401394
